"Pathways"	"Fourth Level"	"Third Level"	"Second Level"	"First Level"
PWY-6040	CINNAMATE-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-7978	Other-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-6805	Cellulose-Degradation // Glycan-Degradation	POLYSACCHARIDES-DEG // Glycan-Pathways	Carbohydrates-Degradation // Polymer-Degradation // Pathways	Degradation // Generalized-Reactions
PWY-6618	Guanine-Guanosine-Salvage	Purine-Nucleotides-Salvage	PUR-NUC-SYN	Nucleotide-Biosynthesis
PWY-7778	Alkene-Degradation	Carbohydrates-Degradation	Degradation	Pathways
TCA	TCA-VARIANTS	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-6959	Ascorbate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways
PWY-7055	COUMARIN-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
HEXPPSYN-PWY	All-Trans-Polyprenyl-Biosynthesis	Polyprenyl-Biosynthesis	Biosynthesis	Pathways
PWY-8028	Sterol-Biosynthesis // TRITERPENOID-SYN	Lipid-Biosynthesis // Terpenoid-Biosynthesis	Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	Pathways // Biosynthesis
PWY-7775	Propane-Degradation	Carbohydrates-Degradation	Degradation	Pathways
PWY0-301	Ascorbate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways
PWY-7583	Arachidonate-Biosynthesis	PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis
PWY-7844	Heme-Degradation	Tetrapyrrole-Degradation	COFACTOR-DEGRADATION	Degradation
PWY-6191	Dichlorotoluene-Degradation	Chlorotoluene-Degradation	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG
PWY-7443	MONOTERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-181	Photosynthesis // SERINE-BIOSYNTHESIS	Energy-Metabolism // IND-AMINO-ACID-SYN	Pathways // Amino-Acid-Biosynthesis	Generalized-Reactions // Biosynthesis
PWY-7093	CYANOGENIC-GLUCOSIDE-DEG	N-CONTAINING-GLUCOSIDE-DEG	N-CONTAINING-SECONDARY-CMPD-DEG	SECONDARY-METABOLITE-DEGRADATION
PWY-6906	Chitin-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation
PWY-6605	Adenine-Adenosine-Salvage	Purine-Nucleotides-Salvage	PUR-NUC-SYN	Nucleotide-Biosynthesis
PWY-7774	Propane-Degradation	Carbohydrates-Degradation	Degradation	Pathways
P105-PWY	TCA-VARIANTS	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-6704	Ascorbate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways
PWY-7153	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
P203-PWY	OTHER-ENERGY // Sulfur-Disproportionation	Energy-Metabolism // Sulfur-Metabolism	Pathways // Noncarbon-Nutrients	Generalized-Reactions // Degradation
PWY-5783	All-Trans-Polyprenyl-Biosynthesis	Polyprenyl-Biosynthesis	Biosynthesis	Pathways
PWY-7838	Sphingolipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways
PWY-7312	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis
PWY-6961	Ascorbate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways
PWY-7847	Heme-Degradation	Tetrapyrrole-Degradation	COFACTOR-DEGRADATION	Degradation
ACETOACETATE-DEG-PWY	Other-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-6280	C40-Carotenoids-Biosynthesis	CAROTENOID-SYN // TETRATERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-4681	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN	PHYTOALEXIN-SYN // FLAVONOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS // PHENYLPROPANOID-SYN	Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6902	Chitin-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation
PWY-6611	Adenine-Adenosine-Salvage	Purine-Nucleotides-Salvage	PUR-NUC-SYN	Nucleotide-Biosynthesis
PWY-7794	Polymer-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-6969	TCA-VARIANTS	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-6960	Ascorbate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways
PWY-6914	PRENYLFLAVONOID-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY0-1264	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-5807	All-Trans-Polyprenyl-Biosynthesis	Polyprenyl-Biosynthesis	Biosynthesis	Pathways
PWY-6341	Polymer-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7452	ANTHOCYANIN-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
GLYOXDEG-PWY	Glycolate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways
PWY-7923	Nucleic-Acid-Processing	Macromolecule-Modification	Pathways	Generalized-Reactions
PWY-7843	Heme-Degradation	Tetrapyrrole-Degradation	COFACTOR-DEGRADATION	Degradation
PWY-6190	Dichlorotoluene-Degradation	Chlorotoluene-Degradation	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG
PWY-8129	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES
PWY-6762	Salicylate-Biosynthesis	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
PWY-7886	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES
ASPARTATESYN-PWY	ASPARTATE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis
PWY-5287	ISOQUINOLINE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-8119	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-3121	CYANOGENIC-GLUCOSIDE-DEG	N-CONTAINING-GLUCOSIDE-DEG	N-CONTAINING-SECONDARY-CMPD-DEG	SECONDARY-METABOLITE-DEGRADATION
PWY-7822	Chitin-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation
P121-PWY	Adenine-Adenosine-Salvage	Purine-Nucleotides-Salvage	PUR-NUC-SYN	Nucleotide-Biosynthesis
PWY0-1546	Polymer-Degradation	Degradation	Pathways	Generalized-Reactions
REDCITCYC	TCA-VARIANTS	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-6395	Other-Amino-Acid-Biosynthesis // Seleno-Amino-Acid-Detoxification // Super-Pathways	Amino-Acid-Biosynthesis // Detoxification // Selenium-Metabolism // Pathways	Biosynthesis // Pathways // Noncarbon-Nutrients // Generalized-Reactions	Pathways // Generalized-Reactions // Degradation // FRAMES
PWY-6564	Glycosaminoglycans-Biosynthesis // Super-Pathways	Polysaccharides-Biosynthesis // Pathways	Carbohydrates-Biosynthesis // Glycan-Biosynthesis // Generalized-Reactions	Biosynthesis // Carbohydrates-Biosynthesis // Glycan-Pathways // FRAMES
PWY-6662	SECONDARY-METABOLITE-BIOSYNTHESIS // Super-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-5936	Polysaccharides-Biosynthesis	Carbohydrates-Biosynthesis // Glycan-Biosynthesis	Biosynthesis // Carbohydrates-Biosynthesis // Glycan-Pathways	Pathways // Biosynthesis
PWY-5026	Auxin-Biosynthesis	Plant-Hormone-Biosynthesis	HORMONE-SYN	Biosynthesis
PWY-7186	COUMARIN-SYN // Super-Pathways	PHENYLPROPANOID-SYN // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions	Biosynthesis // FRAMES
PWY-5302	OTHER-ENERGY // Sulfur-Disproportionation	Energy-Metabolism // Sulfur-Metabolism	Pathways // Noncarbon-Nutrients	Generalized-Reactions // Degradation
PWY-5893	All-Trans-Polyprenyl-Biosynthesis	Polyprenyl-Biosynthesis	Biosynthesis	Pathways
PWY-7401	Fermentation // Super-Pathways	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY0-1325	ASPARAGINE-SYN // Super-Pathways	IND-AMINO-ACID-SYN // Pathways	Amino-Acid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-7841	Sphingolipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways
PWY4FS-7	PhosphatidylglycerolBiosynthesis // Super-Pathways	Phospholipid-Biosynthesis // Pathways	Lipid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
THRESYN-PWY	Super-Pathways // THREONINE-BIOSYNTHESIS	Pathways // IND-AMINO-ACID-SYN	Generalized-Reactions // Amino-Acid-Biosynthesis	FRAMES // Biosynthesis
PWY-6963	Ammonia-Assimilation // Super-Pathways	NITROGEN-DEG // Pathways	Noncarbon-Nutrients // Generalized-Reactions	Degradation // FRAMES
BIOTIN-BIOSYNTHESIS-PWY	BIOTIN-SYN // Super-Pathways	Enzyme-Cofactor-Biosynthesis // Pathways	Cofactor-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-6649	Glycolate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways
GLYCOLATEMET-PWY	Glycolate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways
GLCMANNANAUT-PWY	AMINE-DEG // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-7846	Heme-Degradation	Tetrapyrrole-Degradation	COFACTOR-DEGRADATION	Degradation
METHGLYUT-PWY	Aldehyde-Degradation // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
P542-PWY	Choline-Degradation // Super-Pathways	AMINE-DEG // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES
PWY-7715	Super-Pathways	Pathways	Generalized-Reactions	FRAMES
PWY-7461	CINNAMATE-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
P401-PWY	Other-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-5005	BIOTIN-SYN // Super-Pathways	Enzyme-Cofactor-Biosynthesis // Pathways	Cofactor-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-1882	C1-COMPOUNDS // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-5180	Super-Pathways // TOLUENE-DEG	Pathways // AROMATIC-COMPOUNDS-DEGRADATION	Generalized-Reactions // Degradation	FRAMES // Pathways
PWY-7283	Nucleic-Acid-Processing // Super-Pathways	Macromolecule-Modification // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-6855	Chitin-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation
PWY-6610	Adenine-Adenosine-Salvage	Purine-Nucleotides-Salvage	PUR-NUC-SYN	Nucleotide-Biosynthesis
PWY-5464	Energy-Metabolism // Super-Pathways	Pathways	Generalized-Reactions	FRAMES
PWY-6696	Oxalate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways
PWY-5327	LYSINE-DEG // Super-Pathways	Proteinogenic-Amino-Acids-Degradation // Pathways	Amino-Acid-Degradation // Generalized-Reactions	Degradation // FRAMES
PWY-6302	LIGNIN-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-5864	Plastoquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES
PWY-7098	Vanillin-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-6113	Fatty-acid-biosynthesis // Super-Pathways	Lipid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
PWY-5694	Allantoin-degradation // Super-Pathways	AMINE-DEG // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES
PWY-6270	ISOPRENOIDS // Super-Pathways	Terpenoid-Biosynthesis // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions	Biosynthesis // FRAMES
PWY-5122	All-Trans-Polyprenyl-Biosynthesis	Polyprenyl-Biosynthesis	Biosynthesis	Pathways
PWY-6404	Cell-Wall-Biosynthesis // Super-Pathways	Cell-Structure-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
PWY-6571	Glycosaminoglycans-Biosynthesis // Super-Pathways	Polysaccharides-Biosynthesis // Pathways	Carbohydrates-Biosynthesis // Glycan-Biosynthesis // Generalized-Reactions	Biosynthesis // Carbohydrates-Biosynthesis // Glycan-Pathways // FRAMES
PWY-6105	TRITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-6830	METHANOGENESIS // Super-Pathways	ANAEROBIC-RESPIRATION // Pathways	Respiration // Generalized-Reactions	Energy-Metabolism // FRAMES
PWY-6981	Polysaccharides-Biosynthesis // Super-Pathways	Carbohydrates-Biosynthesis // Glycan-Biosynthesis // Pathways	Biosynthesis // Carbohydrates-Biosynthesis // Glycan-Pathways // Generalized-Reactions	Pathways // Biosynthesis // FRAMES
PWY-7985	Oxalate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways
PWY-7725	Arachidonate-Biosynthesis	PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis
PWY-7200	Pyrimidine-Nucleotide-Salvage // Super-Pathways	PYR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-7317	Super-Pathways // dTDP-Sugar-Biosynthesis	Pathways // SUGAR-NUCLEOTIDES	Generalized-Reactions // CARBO-BIOSYNTHESIS	FRAMES // Carbohydrates-Biosynthesis
PWY-5874	Heme-Degradation	Tetrapyrrole-Degradation	COFACTOR-DEGRADATION	Degradation
PWY-7438	Super-Pathways // dTDP-Sugar-Biosynthesis	Pathways // SUGAR-NUCLEOTIDES	Generalized-Reactions // CARBO-BIOSYNTHESIS	FRAMES // Carbohydrates-Biosynthesis
PWY-6192	Dichlorotoluene-Degradation	Chlorotoluene-Degradation	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG
PWY-7835	Sphingolipid-Biosynthesis // Super-Pathways	Lipid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
PWY-5423	MONOTERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
TRPSYN-PWY	TRYPTOPHAN-BIOSYNTHESIS	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis
PWY0-166	Pyrimid-Deoxyribonucleot-De-Novo-Biosyn // Super-Pathways	Deoxyribonucleotide-Biosynthesis // Pyrimidine-De-Novo-Biosyn // Pathways	Nucleotide-Biosynthesis // PYR-NUC-SYN // Generalized-Reactions	Biosynthesis // Nucleotide-Biosynthesis // FRAMES
PWY66-3	Sterol-Biosynthesis // Super-Pathways	Lipid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
PWY-6011	CYANOGENIC-GLUCOSIDE-DEG	N-CONTAINING-GLUCOSIDE-DEG	N-CONTAINING-SECONDARY-CMPD-DEG	SECONDARY-METABOLITE-DEGRADATION
PWY-7118	Chitin-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation
PWY-6609	Adenine-Adenosine-Salvage	Purine-Nucleotides-Salvage	PUR-NUC-SYN	Nucleotide-Biosynthesis
ACETATEUTIL-PWY	CARBOXYLATES-DEG // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-6695	Oxalate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways
COA-PWY-1	CoA-Biosynthesis // Super-Pathways	Carriers-Biosynthesis // Pathways	Cofactor-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-7752	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
GLUDEG-I-PWY	4-Aminobutyraye-Degradation // GLUTAMATE-DEG // Super-Pathways	AMINE-DEG // Proteinogenic-Amino-Acids-Degradation // Pathways	Degradation // Amino-Acid-Degradation // Generalized-Reactions	Pathways // Degradation // FRAMES
PWY-6658	Polysaccharides-Biosynthesis	Carbohydrates-Biosynthesis // Glycan-Biosynthesis	Biosynthesis // Carbohydrates-Biosynthesis // Glycan-Pathways	Pathways // Biosynthesis
OANTIGEN-PWY	Metabolic-Clusters // SUGAR-NUCLEOTIDES // Super-Pathways	Pathways // CARBO-BIOSYNTHESIS	Generalized-Reactions // Carbohydrates-Biosynthesis	FRAMES // Biosynthesis
PWY-7097	Vanillin-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PEPTIDOGLYCANSYN-PWY	Peptidoglycan-Biosynthesis // Super-Pathways	Cell-Wall-Biosynthesis // Pathways	Cell-Structure-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-5806	All-Trans-Polyprenyl-Biosynthesis	Polyprenyl-Biosynthesis	Biosynthesis	Pathways
PWY-1264	Taurine-degradation	NITROGEN-DEG // Sulfur-Metabolism	Noncarbon-Nutrients	Degradation
PWY-2504	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
SPHINGOLIPID-SYN-PWY	Sphingolipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways
PWY-5053	GIBBERELLIN-SYN // Super-Pathways	DITERPENOID-SYN // Plant-Hormone-Biosynthesis // Pathways	Terpenoid-Biosynthesis // HORMONE-SYN // Generalized-Reactions	SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis // FRAMES
PWY-5183	Super-Pathways // TOLUENE-DEG	Pathways // AROMATIC-COMPOUNDS-DEGRADATION	Generalized-Reactions // Degradation	FRAMES // Pathways
URDEGR-PWY	Allantoin-degradation // Super-Pathways	AMINE-DEG // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES
PWY-5345	Methionine-De-novo-Biosynthesis // Super-Pathways	METHIONINE-SYN // Pathways	IND-AMINO-ACID-SYN // Generalized-Reactions	Amino-Acid-Biosynthesis // FRAMES
PWY-6698	Oxalate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways
PWY-5485	Pyruvate-Acetate-Fermentation // Super-Pathways	Acetate-Formation // Pyruvate-Degradation // Pathways	CARBOXYLATES-DEG // Fermentation-to-Acids // Fermentation // Generalized-Reactions	Degradation // Fermentation // Energy-Metabolism // FRAMES
PWY-7845	Heme-Degradation	Tetrapyrrole-Degradation	COFACTOR-DEGRADATION	Degradation
PWY-5724	Atrazine-Degradation // Super-Pathways	s-Triazine-Degradation // Pathways	AROMATIC-COMPOUNDS-DEGRADATION // Generalized-Reactions	Degradation // FRAMES
PWY-5898	Menaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES
PWY-6141	Phospholipid-Biosynthesis // Super-Pathways	Lipid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
P621-PWY	Other-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7949	C40-Carotenoids-Biosynthesis // Interconversion	CAROTENOID-SYN // TETRATERPENOID-SYN // Activation-Inactivation-Interconversion	Terpenoid-Biosynthesis // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions
PWY-2343	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN // Interconversion	PHYTOALEXIN-SYN // FLAVONOID-SYN // Activation-Inactivation-Interconversion	SECONDARY-METABOLITE-BIOSYNTHESIS // PHENYLPROPANOID-SYN // Pathways	Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions
PWY-6285	Fatty-acid-biosynthesis // Super-Pathways	Lipid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
PWY-6446	Benzoate-Biosynthesis // Super-Pathways	AROMATIC-COMPOUNDS-BIOSYN // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
PWY-6619	Adenine-Adenosine-Salvage	Purine-Nucleotides-Salvage	PUR-NUC-SYN	Nucleotide-Biosynthesis
PWY-6594	Pyruvate-Degradation // Super-Pathways	Fermentation // Pathways	Energy-Metabolism // Generalized-Reactions	Pathways // FRAMES
PWY-6895	Super-Pathways // Thiamine-Biosynthesis	Pathways // Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Generalized-Reactions // Cofactor-Biosynthesis	FRAMES // Biosynthesis
PWY-7185	UTP-CTP-Dephosphorylation	Pyrimidine-Ribonucleosides-Degradation	Pyrimidine-Degradation	NUCLEO-DEG
PWY-7020	Antibiotic-Biosynthesis // Super-Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
PWY-6694	Oxalate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways
PWY-7211	Pyrimid-Deoxyribonucleot-De-Novo-Biosyn // Super-Pathways	Deoxyribonucleotide-Biosynthesis // Pyrimidine-De-Novo-Biosyn // Pathways	Nucleotide-Biosynthesis // PYR-NUC-SYN // Generalized-Reactions	Biosynthesis // Nucleotide-Biosynthesis // FRAMES
PWY-5135	PRENYLFLAVONOID-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7332	Super-Pathways // UDP-Sugar-Biosynthesis	Pathways // SUGAR-NUCLEOTIDES	Generalized-Reactions // CARBO-BIOSYNTHESIS	FRAMES // Carbohydrates-Biosynthesis
PWY-7509	Cardiolipin-Biosynthesis // PhosphatidylethanolamineBiosynthesis // Super-Pathways	Phospholipid-Biosynthesis // Pathways	Lipid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
LIPA-CORESYN-PWY	Glycan-Biosynthesis // Lipid-Biosynthesis	Carbohydrates-Biosynthesis // Glycan-Pathways // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-5817	All-Trans-Polyprenyl-Biosynthesis	Polyprenyl-Biosynthesis	Biosynthesis	Pathways
PWY-8004	Entner-Duodoroff-Pathways // Super-Pathways	Energy-Metabolism // Sugars-And-Polysaccharides-Degradation // Pathways	Pathways // Carbohydrates-Degradation // Generalized-Reactions	Generalized-Reactions // Degradation // FRAMES
PWY0-781	Super-Pathways	Pathways	Generalized-Reactions	FRAMES
PWY66-409	Purine-Nucleotides-Salvage // Super-Pathways	PUR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-7253	ANTHOCYANIN-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
AMMASSIM-PWY	Ammonia-Assimilation // Super-Pathways	NITROGEN-DEG // Pathways	Noncarbon-Nutrients // Generalized-Reactions	Degradation // FRAMES
COMPLETE-ARO-PWY	Amino-Acid-Biosynthesis // Super-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-6697	Oxalate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways
PWY-7848	Heme-Degradation	Tetrapyrrole-Degradation	COFACTOR-DEGRADATION	Degradation
PWY-6104	3-Chlorotoluene-Degradation	Chlorotoluene-Degradation	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG
P125-PWY	Butanediol-Biosynthesis // Super-Pathways	Other-biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
GLYCOL-GLYOXDEG-PWY	Alcohol-Degradation // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PHOTOALL-PWY	Photosynthesis // Super-Pathways	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY0-1587	Nucleic-Acid-Processing	Macromolecule-Modification	Pathways	Generalized-Reactions
PWY-6549	GLUTAMINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis
PWY-5876	ISOQUINOLINE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5632	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7092	CYANOGENIC-GLUCOSIDE-DEG	N-CONTAINING-GLUCOSIDE-DEG	N-CONTAINING-SECONDARY-CMPD-DEG	SECONDARY-METABOLITE-DEGRADATION
PWY-7193	Pyrimidine-Nucleotide-Salvage	PYR-NUC-SYN	Nucleotide-Biosynthesis	Biosynthesis
PWY-5088	Fermentation-to-propanoate // GLUTAMATE-DEG // Super-Pathways	Fermentation-to-Acids // Proteinogenic-Amino-Acids-Degradation // Pathways	Fermentation // Amino-Acid-Degradation // Generalized-Reactions	Energy-Metabolism // Degradation // FRAMES
PWY-5265	Peptidoglycan-Biosynthesis // Super-Pathways	Cell-Wall-Biosynthesis // Pathways	Cell-Structure-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-5405	BETALAIN-ALKALOIDS // Super-Pathways	ALKALOIDS-SYN // Pathways	N-CONTAINING-SECONDARY-CMPD-SYN // Generalized-Reactions	SECONDARY-METABOLITE-BIOSYNTHESIS // FRAMES
PWY-5529	Chlorophyll-a-Biosynthesis // Super-Pathways	Chlorophyll-Biosynthesis // Pathways	Porphyrin-Compounds-Biosynthesis // Generalized-Reactions	Tetrapyrrole-Biosynthesis // FRAMES
PWY-3282	Ammonia-Assimilation // Super-Pathways	NITROGEN-DEG // Pathways	Noncarbon-Nutrients // Generalized-Reactions	Degradation // FRAMES
PWY-5840	Menaquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES
PWY-822	Polysaccharides-Biosynthesis	Carbohydrates-Biosynthesis // Glycan-Biosynthesis	Biosynthesis // Carbohydrates-Biosynthesis // Glycan-Pathways	Pathways // Biosynthesis
PWYDQC-4	Auxin-Biosynthesis	Plant-Hormone-Biosynthesis	HORMONE-SYN	Biosynthesis
